Country,Confirmed,Death,Recovered,Active,Population
Afghanistan,34194,971,20882,12341,38041754
Albania,3278,85,1875,1318,2854191
Algeria,18242,996,13124,4122,43053054
Andorra,855,52,803,0,77142
Angola,458,23,117,318,31825295
Antigua and Barbuda,74,3,57,14,97118
Argentina,94060,1774,38984,53302,44938712
Armenia,30903,546,18709,11648,2957731
Australia,9553,107,7733,1713,25364307
Austria,18709,706,16808,1195,8877067
Azerbaijan,22990,292,14093,8605,10023318
Bahamas,108,11,89,8,389482
Bahrain,32039,104,27213,4722,1641172
Bangladesh,178443,2275,86406,89762,163046161
Barbados,98,7,90,1,287025
Belarus,64604,454,54254,9896,9466856
Belgium,62357,9781,17179,35397,11484055
Belize,37,2,20,15,390353
Benin,1285,23,333,929,11801151
Bhutan,80,0,55,25,763092
Bolivia,45565,1702,13918,29945,11513100
Bosnia and Herzegovina,6402,216,3037,3149,3301000
Botswana,314,1,31,282,2303697
Brazil,1800827,70398,1217361,513068,211049527
Brunei,141,3,138,0,433285
Bulgaria,6964,267,3308,3389,6975761
Burkina Faso,1020,53,862,105,20321378
Burma,326,6,256,64,54045420
Burundi,191,1,118,72,11530580
Cabo Verde,1591,19,730,842,549935
Cambodia,141,0,131,10,16486542
Cameroon,14916,359,11525,3032,25876380
Canada,108984,8811,72466,NA,37589262
Central African Republic,4259,53,1142,3064,4745185
Chad,874,74,789,11,15946876
Chile,309274,6781,278053,24440,18952038
China,84992,4641,79802,549,1405222400
Colombia,133973,4985,56272,72716,50339443
Comoros,314,7,272,35,850886
Congo (Brazzaville),2028,47,589,1392,5380508
Congo (Kinshasa),7905,189,3513,4203,86790567
Costa Rica,6845,26,2110,4709,5047561
Cote d'Ivoire,12052,81,6080,5891,25716544
Croatia,3532,117,2377,1038,4067500
Cuba,2413,86,2249,78,11333483
Cyprus,1013,19,839,155,1198575
Czechia,13001,352,8208,4441,10669709
Denmark,13147,609,12278,260,5818553
Djibouti,4968,56,4689,223,973560
Dominica,18,0,18,0,71808
Dominican Republic,41915,864,20830,20221,10738958
Ecuador,65018,4939,29577,30502,17373662
Egypt,80235,3702,23274,53259,100388073
El Salvador,9142,249,5428,3465,6453553
Equatorial Guinea,3071,51,842,2178,1355986
Estonia,2013,69,1894,50,1326590
Eswatini,1257,18,633,606,1148130
Ethiopia,7120,124,2430,4566,112078730
